experiment,method,delta_ratio,mean_hausdorff,median_hausdorff,p25_hausdorff,p75_hausdorff,num_trials,mean_predicted_num_chgpts,median_predicted_num_chgpts,p25_predicted_num_chgpts,p75_predicted_num_chgpts,num_infinite_hausdorff,num_nan_hausdorff,num_finite_hausdorff
M1,WERM,1.0,0.40199999999999997,0.37,0.355,0.395,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,2.0,0.10250000000000001,0.09625,0.08,0.12687500000000002,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,3.0,0.062277777777777765,0.06,0.03833333333333333,0.08791666666666667,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,4.0,0.043000000000000003,0.035,0.017812500000000002,0.06343750000000001,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,5.0,0.02886666666666667,0.0215,0.008,0.0455,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,6.0,0.025944444444444447,0.02,0.008541666666666666,0.03854166666666667,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,7.0,0.015095238095238096,0.010714285714285714,0.005178571428571428,0.022321428571428572,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,8.0,0.017625,0.014374999999999999,0.00625,0.028437499999999998,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,9.0,0.011944444444444442,0.01,0.0034722222222222225,0.019166666666666665,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,10.0,0.007183333333333333,0.0035,0.002,0.010624999999999999,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,0.5,0.35733333333333334,0.36,0.32,0.3775,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,1.5,0.1272222222222222,0.11833333333333333,0.11,0.1325,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,2.5,0.07626666666666666,0.055,0.0405,0.1235,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,3.5,0.028714285714285713,0.027142857142857142,0.008928571428571428,0.039642857142857146,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,4.5,0.019555555555555555,0.006111111111111111,0.0033333333333333335,0.015,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,5.5,0.009424242424242424,0.005454545454545455,0.0018181818181818182,0.013409090909090909,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,6.5,0.012717948717948716,0.0026923076923076926,0.0015384615384615385,0.014423076923076924,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,7.5,0.0033999999999999994,0.0013333333333333333,0.0013333333333333333,0.005,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,8.5,0.007176470588235295,0.0038235294117647057,0.0017647058823529412,0.007647058823529412,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,9.5,0.004982456140350877,0.0013157894736842105,0.0005263157894736842,0.004342105263157895,30,2.0,2.0,2.0,2.0,0,0,30
M3,WERM,1.0,0.15566666666666668,0.14,0.125,0.1875,30,1.0,1.0,1.0,1.0,0,0,30
M3,WERM,2.0,0.15608333333333332,0.18,0.075,0.200625,30,1.0,1.0,1.0,1.0,0,0,30
M3,WERM,3.0,0.11827777777777776,0.11583333333333334,0.07125000000000001,0.1775,30,1.0,1.0,1.0,1.0,0,0,30
M3,WERM,4.0,0.14004166666666668,0.13437500000000002,0.0890625,0.1909375,30,1.0,1.0,1.0,1.0,0,0,30
M3,WERM,5.0,0.10796666666666667,0.109,0.06025,0.149,30,1.0,1.0,1.0,1.0,0,0,30
M3,WERM,6.0,0.09669444444444444,0.10958333333333334,0.06229166666666667,0.131875,30,1.0,1.0,1.0,1.0,0,0,30
M3,WERM,7.0,0.1063809523809524,0.10392857142857143,0.05125,0.15535714285714286,30,1.0,1.0,1.0,1.0,0,0,30
M3,WERM,8.0,0.09199999999999998,0.080625,0.055,0.12609375,30,1.0,1.0,1.0,1.0,0,0,30
M3,WERM,9.0,0.08705555555555552,0.0786111111111111,0.04569444444444445,0.1061111111111111,30,1.0,1.0,1.0,1.0,0,0,30
M3,WERM,10.0,0.06851666666666666,0.06875,0.023875,0.10149999999999999,30,1.0,1.0,1.0,1.0,0,0,30
