experiment,method,delta_ratio,mean_hausdorff,median_hausdorff,p25_hausdorff,p75_hausdorff,num_trials,mean_predicted_num_chgpts,median_predicted_num_chgpts,p25_predicted_num_chgpts,p75_predicted_num_chgpts,num_infinite_hausdorff,num_nan_hausdorff,num_finite_hausdorff
M1,WERM,1.0,0.4541666666666666,0.4625,0.35624999999999996,0.55875,30,1.3333333333333333,1.0,1.0,2.0,0,0,30
M1,WERM,2.0,nan,nan,nan,nan,30,0.0,0.0,0.0,0.0,30,0,0
M1,WERM,3.0,nan,nan,nan,nan,30,0.0,0.0,0.0,0.0,30,0,0
M1,WERM,4.0,nan,nan,nan,nan,30,0.0,0.0,0.0,0.0,30,0,0
M1,WERM,5.0,nan,nan,nan,nan,30,0.0,0.0,0.0,0.0,30,0,0
M1,WERM,6.0,nan,nan,nan,nan,30,0.0,0.0,0.0,0.0,30,0,0
M1,WERM,7.0,0.29285714285714287,0.29285714285714287,0.29285714285714287,0.29285714285714287,30,0.06666666666666667,0.0,0.0,0.0,28,0,2
M1,WERM,8.0,0.2946875,0.2946875,0.29265625,0.29671875000000003,30,0.06666666666666667,0.0,0.0,0.0,28,0,2
M1,WERM,9.0,0.2669444444444445,0.2644444444444445,0.25666666666666665,0.27472222222222226,30,0.13333333333333333,0.0,0.0,0.0,26,0,4
M1,WERM,10.0,0.17282352941176468,0.272,0.006,0.2945,30,0.8,1.0,0.0,1.0,13,0,17
M2,WERM,0.5,0.3668,0.37,0.33,0.39,30,1.8,2.0,1.0,3.0,5,0,25
M2,WERM,1.5,nan,nan,nan,nan,30,0.0,0.0,0.0,0.0,30,0,0
M2,WERM,2.5,nan,nan,nan,nan,30,0.0,0.0,0.0,0.0,30,0,0
M2,WERM,3.5,0.2742857142857143,0.2914285714285714,0.265,0.29214285714285715,30,0.1,0.0,0.0,0.0,27,0,3
M2,WERM,4.5,0.2506222222222222,0.27,0.2111111111111111,0.2822222222222222,30,0.8333333333333334,1.0,1.0,1.0,5,0,25
M2,WERM,5.5,0.04157575757575757,0.005909090909090909,0.0018181818181818182,0.014318181818181818,30,1.8666666666666667,2.0,2.0,2.0,0,0,30
M2,WERM,6.5,0.01964102564102564,0.0026923076923076926,0.0015384615384615385,0.014423076923076924,30,1.9666666666666666,2.0,2.0,2.0,0,0,30
M2,WERM,7.5,0.0033999999999999994,0.0013333333333333333,0.0013333333333333333,0.005,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,8.5,0.007176470588235295,0.0038235294117647057,0.0017647058823529412,0.007647058823529412,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,9.5,0.004982456140350877,0.0013157894736842105,0.0005263157894736842,0.004342105263157895,30,2.0,2.0,2.0,2.0,0,0,30
M3,WERM,1.0,0.16205882352941176,0.14,0.12,0.19,30,0.5666666666666667,1.0,0.0,1.0,13,0,17
M3,WERM,2.0,0.12729166666666666,0.11249999999999999,0.063125,0.18562499999999998,30,0.4,0.0,0.0,1.0,18,0,12
M3,WERM,3.0,0.12630952380952382,0.12416666666666668,0.08791666666666667,0.18,30,0.4666666666666667,0.0,0.0,1.0,16,0,14
M3,WERM,4.0,0.12727941176470586,0.10625,0.10125,0.16,30,0.5666666666666667,1.0,0.0,1.0,13,0,17
M3,WERM,5.0,0.10666666666666666,0.135,0.066,0.15,30,0.3,0.0,0.0,1.0,21,0,9
M3,WERM,6.0,0.10128205128205127,0.12333333333333334,0.07083333333333333,0.15166666666666667,30,0.43333333333333335,0.0,0.0,1.0,17,0,13
M3,WERM,7.0,0.0899404761904762,0.09142857142857143,0.0225,0.14982142857142855,30,0.4,0.0,0.0,1.0,18,0,12
M3,WERM,8.0,0.07319444444444445,0.056875,0.015625,0.104375,30,0.3,0.0,0.0,1.0,21,0,9
M3,WERM,9.0,0.07316239316239316,0.06666666666666667,0.04555555555555556,0.09111111111111111,30,0.43333333333333335,0.0,0.0,1.0,17,0,13
M3,WERM,10.0,0.0475,0.02275,0.007875,0.0875,30,0.3333333333333333,0.0,0.0,1.0,20,0,10
