experiment,method,delta_ratio,mean_hausdorff,median_hausdorff,p25_hausdorff,p75_hausdorff,num_trials,mean_predicted_num_chgpts,median_predicted_num_chgpts,p25_predicted_num_chgpts,p75_predicted_num_chgpts,num_infinite_hausdorff,num_nan_hausdorff,num_finite_hausdorff
M1,WERM,1.0,0.40199999999999997,0.37,0.355,0.395,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,2.0,0.10250000000000001,0.09625,0.08,0.12687500000000002,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,3.0,0.062277777777777765,0.06,0.03833333333333333,0.08791666666666667,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,4.0,0.043000000000000003,0.035,0.017812500000000002,0.06343750000000001,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,5.0,0.02886666666666667,0.0215,0.008,0.0455,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,6.0,0.025944444444444447,0.02,0.008541666666666666,0.03854166666666667,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,7.0,0.015095238095238096,0.010714285714285714,0.005178571428571428,0.022321428571428572,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,8.0,0.017625,0.014374999999999999,0.00625,0.028437499999999998,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,9.0,0.011944444444444442,0.01,0.0034722222222222225,0.019166666666666665,30,2.0,2.0,2.0,2.0,0,0,30
M1,WERM,10.0,0.007183333333333333,0.0035,0.002,0.010624999999999999,30,2.0,2.0,2.0,2.0,0,0,30
