experiment,method,delta_ratio,trial,hausdorff,status,predicted_num_chgpts,estimated_changepoints,true_changepoints
M2,WERM,0.5,0,0.36,ok,3,"4,20,63","40,70"
M2,WERM,0.5,1,0.29,ok,1,69,"40,70"
M2,WERM,0.5,2,0.31,ok,2,"9,91","40,70"
M2,WERM,0.5,3,0.34,ok,1,36,"40,70"
M2,WERM,0.5,4,0.38,ok,3,"2,12,45","40,70"
M2,WERM,0.5,5,0.38,ok,3,"2,13,88","40,70"
M2,WERM,0.5,6,inf,ok,0,,"40,70"
M2,WERM,0.5,7,0.37,ok,3,"3,13,53","40,70"
M2,WERM,0.5,8,0.33,ok,2,"7,92","40,70"
M2,WERM,0.5,9,0.44,ok,3,"2,16,26","40,70"
M2,WERM,0.5,10,0.37,ok,2,"3,54","40,70"
M2,WERM,0.5,11,0.33,ok,3,"7,57,98","40,70"
M2,WERM,0.5,12,0.3,ok,2,"10,90","40,70"
M2,WERM,0.5,13,0.48,ok,1,88,"40,70"
M2,WERM,0.5,14,0.39,ok,3,"1,11,84","40,70"
M2,WERM,0.5,15,0.47,ok,1,23,"40,70"
M2,WERM,0.5,16,0.29,ok,2,"11,64","40,70"
M2,WERM,0.5,17,inf,ok,0,,"40,70"
M2,WERM,0.5,18,0.34,ok,3,"6,66,98","40,70"
M2,WERM,0.5,19,inf,ok,0,,"40,70"
M2,WERM,0.5,20,0.57,ok,1,13,"40,70"
M2,WERM,0.5,21,0.24,ok,1,46,"40,70"
M2,WERM,0.5,22,0.39,ok,3,"1,11,90","40,70"
M2,WERM,0.5,23,0.39,ok,3,"1,11,56","40,70"
M2,WERM,0.5,24,inf,ok,0,,"40,70"
M2,WERM,0.5,25,0.28,ok,1,42,"40,70"
M2,WERM,0.5,26,0.38,ok,2,"2,81","40,70"
M2,WERM,0.5,27,0.39,ok,3,"1,12,88","40,70"
M2,WERM,0.5,28,inf,ok,0,,"40,70"
M2,WERM,0.5,29,0.36,ok,2,"4,92","40,70"
M2,WERM,1.5,0,inf,ok,0,,"120,210"
M2,WERM,1.5,1,inf,ok,0,,"120,210"
M2,WERM,1.5,2,inf,ok,0,,"120,210"
M2,WERM,1.5,3,inf,ok,0,,"120,210"
M2,WERM,1.5,4,inf,ok,0,,"120,210"
M2,WERM,1.5,5,inf,ok,0,,"120,210"
M2,WERM,1.5,6,inf,ok,0,,"120,210"
M2,WERM,1.5,7,inf,ok,0,,"120,210"
M2,WERM,1.5,8,inf,ok,0,,"120,210"
M2,WERM,1.5,9,inf,ok,0,,"120,210"
M2,WERM,1.5,10,inf,ok,0,,"120,210"
M2,WERM,1.5,11,inf,ok,0,,"120,210"
M2,WERM,1.5,12,inf,ok,0,,"120,210"
M2,WERM,1.5,13,inf,ok,0,,"120,210"
M2,WERM,1.5,14,inf,ok,0,,"120,210"
M2,WERM,1.5,15,inf,ok,0,,"120,210"
M2,WERM,1.5,16,inf,ok,0,,"120,210"
M2,WERM,1.5,17,inf,ok,0,,"120,210"
M2,WERM,1.5,18,inf,ok,0,,"120,210"
M2,WERM,1.5,19,inf,ok,0,,"120,210"
M2,WERM,1.5,20,inf,ok,0,,"120,210"
M2,WERM,1.5,21,inf,ok,0,,"120,210"
M2,WERM,1.5,22,inf,ok,0,,"120,210"
M2,WERM,1.5,23,inf,ok,0,,"120,210"
M2,WERM,1.5,24,inf,ok,0,,"120,210"
M2,WERM,1.5,25,inf,ok,0,,"120,210"
M2,WERM,1.5,26,inf,ok,0,,"120,210"
M2,WERM,1.5,27,inf,ok,0,,"120,210"
M2,WERM,1.5,28,inf,ok,0,,"120,210"
M2,WERM,1.5,29,inf,ok,0,,"120,210"
M2,WERM,2.5,0,inf,ok,0,,"200,350"
M2,WERM,2.5,1,inf,ok,0,,"200,350"
M2,WERM,2.5,2,inf,ok,0,,"200,350"
M2,WERM,2.5,3,inf,ok,0,,"200,350"
M2,WERM,2.5,4,inf,ok,0,,"200,350"
M2,WERM,2.5,5,inf,ok,0,,"200,350"
M2,WERM,2.5,6,inf,ok,0,,"200,350"
M2,WERM,2.5,7,inf,ok,0,,"200,350"
M2,WERM,2.5,8,inf,ok,0,,"200,350"
M2,WERM,2.5,9,inf,ok,0,,"200,350"
M2,WERM,2.5,10,inf,ok,0,,"200,350"
M2,WERM,2.5,11,inf,ok,0,,"200,350"
M2,WERM,2.5,12,inf,ok,0,,"200,350"
M2,WERM,2.5,13,inf,ok,0,,"200,350"
M2,WERM,2.5,14,inf,ok,0,,"200,350"
M2,WERM,2.5,15,inf,ok,0,,"200,350"
M2,WERM,2.5,16,inf,ok,0,,"200,350"
M2,WERM,2.5,17,inf,ok,0,,"200,350"
M2,WERM,2.5,18,inf,ok,0,,"200,350"
M2,WERM,2.5,19,inf,ok,0,,"200,350"
M2,WERM,2.5,20,inf,ok,0,,"200,350"
M2,WERM,2.5,21,inf,ok,0,,"200,350"
M2,WERM,2.5,22,inf,ok,0,,"200,350"
M2,WERM,2.5,23,inf,ok,0,,"200,350"
M2,WERM,2.5,24,inf,ok,0,,"200,350"
M2,WERM,2.5,25,inf,ok,0,,"200,350"
M2,WERM,2.5,26,inf,ok,0,,"200,350"
M2,WERM,2.5,27,inf,ok,0,,"200,350"
M2,WERM,2.5,28,inf,ok,0,,"200,350"
M2,WERM,2.5,29,inf,ok,0,,"200,350"
M2,WERM,3.5,0,inf,ok,0,,"280,489"
M2,WERM,3.5,1,inf,ok,0,,"280,489"
M2,WERM,3.5,2,inf,ok,0,,"280,489"
M2,WERM,3.5,3,inf,ok,0,,"280,489"
M2,WERM,3.5,4,inf,ok,0,,"280,489"
M2,WERM,3.5,5,inf,ok,0,,"280,489"
M2,WERM,3.5,6,inf,ok,0,,"280,489"
M2,WERM,3.5,7,inf,ok,0,,"280,489"
M2,WERM,3.5,8,inf,ok,0,,"280,489"
M2,WERM,3.5,9,inf,ok,0,,"280,489"
M2,WERM,3.5,10,inf,ok,0,,"280,489"
M2,WERM,3.5,11,inf,ok,0,,"280,489"
M2,WERM,3.5,12,inf,ok,0,,"280,489"
M2,WERM,3.5,13,inf,ok,0,,"280,489"
M2,WERM,3.5,14,inf,ok,0,,"280,489"
M2,WERM,3.5,15,inf,ok,0,,"280,489"
M2,WERM,3.5,16,inf,ok,0,,"280,489"
M2,WERM,3.5,17,inf,ok,0,,"280,489"
M2,WERM,3.5,18,inf,ok,0,,"280,489"
M2,WERM,3.5,19,0.23857142857142857,ok,1,322,"280,489"
M2,WERM,3.5,20,0.29285714285714287,ok,1,284,"280,489"
M2,WERM,3.5,21,inf,ok,0,,"280,489"
M2,WERM,3.5,22,inf,ok,0,,"280,489"
M2,WERM,3.5,23,inf,ok,0,,"280,489"
M2,WERM,3.5,24,inf,ok,0,,"280,489"
M2,WERM,3.5,25,inf,ok,0,,"280,489"
M2,WERM,3.5,26,inf,ok,0,,"280,489"
M2,WERM,3.5,27,inf,ok,0,,"280,489"
M2,WERM,3.5,28,inf,ok,0,,"280,489"
M2,WERM,3.5,29,0.2914285714285714,ok,1,285,"280,489"
M2,WERM,4.5,0,0.26666666666666666,ok,1,390,"360,630"
M2,WERM,4.5,1,0.17444444444444446,ok,1,473,"360,630"
M2,WERM,4.5,2,0.2733333333333333,ok,1,384,"360,630"
M2,WERM,4.5,3,0.21888888888888888,ok,1,433,"360,630"
M2,WERM,4.5,4,0.2922222222222222,ok,1,367,"360,630"
M2,WERM,4.5,5,0.2544444444444444,ok,1,401,"360,630"
M2,WERM,4.5,6,0.2088888888888889,ok,1,442,"360,630"
M2,WERM,4.5,7,0.27,ok,1,387,"360,630"
M2,WERM,4.5,8,inf,ok,0,,"360,630"
M2,WERM,4.5,9,0.2011111111111111,ok,1,541,"360,630"
M2,WERM,4.5,10,0.2822222222222222,ok,1,376,"360,630"
M2,WERM,4.5,11,0.17222222222222222,ok,1,515,"360,630"
M2,WERM,4.5,12,0.27666666666666667,ok,1,381,"360,630"
M2,WERM,4.5,13,0.17444444444444446,ok,1,517,"360,630"
M2,WERM,4.5,14,0.2,ok,1,450,"360,630"
M2,WERM,4.5,15,inf,ok,0,,"360,630"
M2,WERM,4.5,16,0.29888888888888887,ok,1,361,"360,630"
M2,WERM,4.5,17,0.2111111111111111,ok,1,440,"360,630"
M2,WERM,4.5,18,0.28555555555555556,ok,1,373,"360,630"
M2,WERM,4.5,19,0.2788888888888889,ok,1,379,"360,630"
